timestamp_us,adc_raw
202220746,164
202221746,147
202222746,155
202223746,156
202224746,154
202225746,155
202226746,143
202227746,144
202228746,150
202229746,149
202230746,165
202231746,180
202232746,174
202233746,177
202234746,168
202235746,171
202236746,161
202247162,245
202248162,228
202249162,212
202250162,214
202251162,215
202252162,211
202253162,212
202254162,213
202255162,205
202256162,205
202257162,196
202258162,201
202259162,192
202260162,178
202261162,186
202262162,187
202263162,179
202264162,178
202265162,173
202266162,180
202267162,176
202268162,172
202269162,165
202270162,159
202271162,159
202272162,157
202273162,158
202274162,150
202275162,147
202276162,147
202277162,150
202287613,129
202288613,129
202289613,123
202290613,122
202291613,119
202292613,121
202293613,127
202294613,113
202295613,117
202296613,124
202297613,115
202298613,118
202299613,116
202300613,114
202301613,112
202302613,115
202303613,112
202304613,99
202305613,105
202306613,109
202307613,111
202308613,109
202309613,108
202310613,107
202311613,101
202312613,99
202313613,98
202314613,108
202315613,107
202316613,111
202317613,108
202318613,108
202329019,87
202330019,95
202331019,96
202332019,93
202333019,84
202334019,96
202335019,92
202336019,92
202337019,85
202338019,85
202339019,83
202340019,86
202341019,89
202342019,75
202343019,80
202344019,86
202345019,96
202346019,99
202347019,108
202348019,107
202349019,99
202350019,104
202351019,112
202352019,117
202353019,114
202354019,105
202355019,107
202356019,111
202357019,105
202358019,113
202359019,117
202360019,114
202361019,111
202362019,113
202363019,113
202364019,128
202374408,132
202375408,121
202376408,126
202377408,123
202378408,117
202379408,125
202380408,129
202381408,138
202382408,130
202383408,132
202384408,144
202385408,144
202386408,145
202387408,145
202388408,155
202389408,148
202390408,145
202391408,139
202392408,144
202393408,141
202394408,136
202395408,131
202396408,131
202397408,147
202398408,137
202399408,131
202400408,129
202401408,123
202402408,117
202403408,115
202404408,113
202405408,114
202415823,110
202416823,109
202417823,112
202418823,109
202419823,97
202420823,107
202421823,99
202422823,101
202423823,100
202424823,91
202425823,99
202426823,89
202427823,96
202428823,96
202429823,100
202430823,89
202431823,100
202432823,87
202433823,88
202434823,93
202435823,85
202436823,97
202437823,81
202438823,81
202439823,82
202440823,81
202441823,88
202442823,85
202443823,81
202444823,82
202445823,86
202446823,92
202447823,80
202448823,79
202449823,83
202450823,79
202451823,88
202452823,80
202453823,83
202464243,91
202465243,78
202466243,65
202467243,65
202468243,49
202469243,73
202470243,73
202471243,75
202472243,47
202473243,83
202474243,75
202475243,75
202476243,67
202477243,66
202478243,68
202479243,73
202480243,68
202481243,68
202482243,64
202483243,65
202484243,66
202485243,75
202486243,65
202487243,67
202488243,68
202489243,75
202490243,65
202491243,63
202492243,80
202493243,75
202494243,85
202495243,93
202496243,88
202497243,96
202498243,102
202499243,108
202500243,112
202501243,109
202502243,107
