timestamp_us,adc_raw
2592039,1842
1092593039,1872
1092594039,1932
1092595039,1991
1092596039,2081
1092597039,2096
1092598039,2102
1092599039,2094
1092600039,2076
1092601039,2089
1092602039,2061
1092603039,2041
1092604039,2003
1092605039,2000
1092606039,1937
1092607039,1861
1092608039,1853
1092618465,2054
1092619465,2044
1092620465,2012
1092621465,2004
1092622465,1968
1092623465,1896
1092624465,1861
1092625465,1853
1092626465,1872
1092627465,1964
1092628465,2006
1092629465,2080
1092630465,2101
1092631465,2112
1092632465,2095
1092633465,2096
1092634465,2082
1092635465,2058
1092636465,2047
1092637465,2035
1092647892,2103
1092648892,2096
1092649892,2096
1092650892,2081
1092651892,2061
1092652892,2032
1092653892,2013
1092654892,2000
1092655892,1950
1092656892,1890
1092657892,1853
1092658892,1869
1092659892,1873
1092660892,1930
1092661892,2024
1092662892,2081
1092663892,2097
1092664892,2097
1092665892,2099
1092666892,2095
1092677319,1914
1092678319,1997
1092679319,2079
1092680319,2101
1092681319,2111
1092682319,2103
1092683319,2094
1092684319,2085
1092685319,2064
1092686319,2032
1092687319,2025
1092688319,2010
1092689319,1941
1092690319,1893
1092691319,1857
1092692319,1856
1092693319,1877
1092694319,1937
1092695319,2014
1092705774,1954
1092706774,1893
1092707774,1861
1092708774,1853
1092709774,1871
1092710774,1921
1092711774,1998
1092712774,2073
1092713774,2101
1092714774,2098
1092715774,2093
1092716774,2085
1092717774,2085
1092718774,2063
1092719774,2030
1092720774,2014
1092721774,2000
1092722774,1936
1092723774,1875
1092724774,1856
1092735201,2064
1092736201,2027
1092737201,2013
1092738201,2010
1092739201,1969
1092740201,1904
1092741201,1857
1092742201,1856
1092743201,1861
1092744201,1963
1092745201,2002
1092746201,2066
1092747201,2075
1092748201,2096
1092749201,2093
1092750201,2094
1092751201,2069
1092752201,2047
1092753201,2039
1092754201,2017
1092764644,2092
1092765644,2081
1092766644,2092
1092767644,2083
1092768644,2059
1092769644,2031
1092770644,2009
1092771644,2000
1092772644,1953
1092773644,1892
1092774644,1855
1092775644,1859
1092776644,1865
1092777644,1934
1092778644,2015
1092779644,2075
1092780644,2102
1092781644,2096
1092782644,2091
1092783644,2077
1092794071,1917
1092795071,1984
1092796071,2063
1092797071,2095
1092798071,2096
1092799071,2079
1092800071,2082
1092801071,2082
1092802071,2044
1092803071,2033
1092804071,2023
1092805071,2000
1092806071,1941
1092807071,1885
1092808071,1822
1092809071,1833
1092810071,1878
1092811071,1926
1092812071,2007
1092813071,2089
1092823498,1914
1092824498,1867
1092825498,1857
1092826498,1867
1092827498,1916
1092828498,1999
1092829498,2077
1092830498,2102
1092831498,2105
1092832498,2094
1092833498,2092
1092834498,2062
1092835498,2076
1092836498,2031
1092837498,2021
1092838498,2011
1092839498,1949
1092840498,1888
1092841498,1867
1092842498,1856
1092852925,2047
1092853925,2026
1092854925,2018
1092855925,1966
1092856925,1903
1092857925,1867
1092858925,1867
1092859925,1872
1092860925,1933
1092861925,2000
1092862925,2079
1092863925,2096
1092864925,2101
1092865925,2099
1092866925,2108
1092867925,2082
1092868925,2064
1092869925,2032
1092870925,2013
1092881379,2113
1092882379,2104
1092883379,2093
1092884379,2074
1092885379,2064
1092886379,2033
1092887379,2013
1092888379,2009
1092889379,1951
1092890379,1904
1092891379,1860
1092892379,1839
1092893379,1886
1092894379,1936
1092895379,2005
1092896379,2078
1092897379,2097
1092898379,2097
1092899379,2086
1092900379,2089
1092910806,1936
1092911806,1987
1092912806,2062
1092913806,2095
1092914806,2112
1092915806,2096
1092916806,2093
1092917806,2087
1092918806,2099
1092919806,2063
1092920806,2035
1092921806,2013
1092922806,1950
1092923806,1893
1092924806,1853
1092925806,1842
1092926806,1853
1092927806,1903
1092928806,1978
1092929806,2039
1092940258,1913
1092941258,1878
1092942258,1877
1092943258,1879
1092944258,1936
1092945258,2007
1092946258,2090
1092947258,2114
1092948258,2111
1092949258,2101
1092950258,2096
1092951258,2073
1092952258,2065
1092953258,2032
1092954258,2010
1092955258,1989
1092956258,1921
1092957258,1867
1092958258,1840
1092959258,1843
1092969677,2051
1092970677,2034
1092971677,2013
1092972677,1969
1092973677,1914
1092974677,1875
1092975677,1872
1092976677,1888
1092977677,1936
1092978677,2001
1092979677,2067
1092980677,2103
1092981677,2109
1092982677,2097
1092983677,2102
1092984677,2097
1092985677,2073
1092986677,2064
1092987677,2037
1092988677,2017
1092999104,2085
1093000104,2087
1093001104,2086
1093002104,2069
1093003104,2038
1093004104,2022
1093005104,2004
1093006104,1956
1093007104,1893
1093008104,1831
1093009104,1869
1093010104,1870
1093011104,1937
1093012104,2017
1093013104,2071
1093014104,2109
1093015104,2119
1093016104,2121
1093017104,2109
1093018104,2087
1093028531,1991
1093029531,2060
1093030531,2095
1093031531,2096
1093032531,2087
1093033531,2087
1093034531,2091
1093035531,2082
1093036531,2069
1093037531,2055
1093038531,2043
1093039531,1991
1093040531,1931
1093041531,1889
1093042531,1872
1093043531,1875
1093044531,1904
1093045531,1968
1093046531,2013
1093056985,1913
1093057985,1887
1093058985,1881
1093059985,1893
1093060985,1940
1093061985,1998
1093062985,2069
1093063985,2096
1093064985,2096
1093065985,2091
1093066985,2087
1093067985,2087
1093068985,2067
1093069985,2038
1093070985,2028
1093071985,2019
1093072985,1968
1093073985,1911
1093074985,1893
1093075985,1914
1093086412,1936
1093087412,1916
1093088412,1910
1093089412,1867
1093090412,1829
1093091412,1808
1093092412,1845
1093093412,1914
1093094412,2016
1093095412,2121
1093096412,2223
1093097412,2217
1093098412,2226
1093099412,2192
1093100412,2129
1093101412,2067
1093102412,2061
1093103412,1999
1093104412,1996
1093105412,1947
1093115856,2061
1093116856,2045
1093117856,2083
1093118856,2131
1093119856,2094
1093120856,2085
1093121856,2095
1093122856,2042
1093123856,1989
1093124856,1977
1093125856,1937
1093126856,1922
1093127856,1957
1093128856,2000
1093129856,2027
1093130856,2033
1093131856,2020
1093132856,2027
1093133856,2021
1093134856,2015
1093145283,2005
1093146283,2080
1093147283,2117
1093148283,2126
1093149283,2112
1093150283,2099
1093151283,2083
1093152283,2059
1093153283,2058
1093154283,2047
1093155283,2047
1093156283,2021
1093157283,1983
1093158283,1989
1093159283,2009
1093160283,2031
1093161283,2062
1093162283,2077
1093163283,2097
1093164283,2021
1093174710,1849
1093175710,1839
1093176710,1833
1093177710,1861
1093178710,1909
1093179710,1981
1093180710,2045
1093181710,2096
1093182710,2179
1093183710,2226
1093184710,2229
1093185710,2201
1093186710,2170
1093187710,2102
1093188710,2047
1093189710,1935
1093190710,1850
1093191710,1774
1093192710,1731
1093193710,1744
1093204137,2063
1093205137,2042
1093206137,2033
1093207137,1993
1093208137,1999
1093209137,1956
1093210137,1991
1093211137,2023
1093212137,2093
1093213137,2117
1093214137,2116
1093215137,2114
1093216137,2060
1093217137,2016
1093218137,1990
1093219137,1968
1093220137,1922
1093221137,1909
1093222137,1904
1093232591,2098
1093233591,2045
1093234591,2047
1093235591,2035
1093236591,2023
1093237591,2019
1093238591,2034
1093239591,1983
1093240591,1951
1093241591,1903
1093242591,1875
1093243591,1872
1093244591,1898
1093245591,1939
1093246591,1988
1093247591,2015
1093248591,2001
1093249591,2045
1093250591,2055
1093251591,2063
1093262018,1980
1093263018,2016
1093264018,2044
1093265018,2047
1093266018,2039
1093267018,2019
1093268018,2003
1093269018,1985
1093270018,1963
1093271018,1956
1093272018,1983
1093273018,1975
1093274018,1979
1093275018,1964
1093276018,1954
1093277018,1967
1093278018,2001
1093279018,2044
1093280018,2081
1093281018,2085
1093291462,1907
1093292462,1888
1093293462,1875
1093294462,1899
1093295462,1950
1093296462,2018
1093297462,2083
1093298462,2114
1093299462,2112
1093300462,2096
1093301462,2073
1093302462,2041
1093303462,2016
1093304462,2007
1093305462,2000
1093306462,1989
1093307462,1936
1093308462,1897
1093309462,1901
1093310462,1899
1093320889,2106
1093321889,2073
1093322889,1991
1093323889,1979
1093324889,1925
1093325889,1903
1093326889,1887
1093327889,1872
1093328889,1933
1093329889,1981
1093330889,2021
1093331889,2053
1093332889,2044
1093333889,2022
1093334889,1997
1093335889,1986
1093336889,1968
1093337889,1975
1093338889,1973
1093339889,1967
1093350316,2047
1093351316,2041
1093352316,2059
1093353316,2077
1093354316,2090
1093355316,2094
1093356316,2064
1093357316,2004
1093358316,1939
1093359316,1915
1093360316,1881
1093361316,1871
1093362316,1904
1093363316,1955
1093364316,1997
1093365316,2031
1093366316,2041
1093367316,2045
1093368316,2062
1093369316,2064
1093379743,1991
1093380743,2061
1093381743,2102
1093382743,2124
1093383743,2118
1093384743,2091
1093385743,2059
1093386743,2012
1093387743,1973
1093388743,1946
1093389743,1936
1093390743,1913
1093391743,1877
1093392743,1878
1093393743,1890
1093394743,1941
1093395743,2005
1093396743,2062
1093397743,2085
1093408197,1967
1093409197,1928
1093410197,1889
1093411197,1901
1093412197,1917
1093413197,1969
1093414197,2033
1093415197,2073
1093416197,2105
1093417197,2141
1093418197,2159
1093419197,2135
1093420197,2113
1093421197,2065
1093422197,1999
1093423197,1943
1093424197,1862
1093425197,1795
1093426197,1772
1093427197,1775
1093437624,2156
1093438624,2071
1093439624,2000
1093440624,1931
1093441624,1861
1093442624,1831
1093443624,1811
1093444624,1829
1093445624,1870
1093446624,1927
1093447624,1989
1093448624,2031
1093449624,2045
1093450624,2064
1093451624,2089
1093452624,2065
1093453624,2064
1093454624,2044
1093455624,2061
1093456624,2033
1093467068,2081
1093468068,2057
1093469068,2064
1093470068,2032
1093471068,2010
1093472068,2046
1093473068,2035
1093474068,2000
1093475068,1969
1093476068,1942
1093477068,1939
1093478068,1935
1093479068,1927
1093480068,1969
1093481068,2017
1093482068,2028
1093483068,2045
1093484068,2045
1093485068,2054
1093486068,2047
1093496495,1946
1093497495,1975
1093498495,2000
1093499495,2000
1093500495,2010
1093501495,2014
1093502495,2023
1093503495,2017
1093504495,2012
1093505495,2014
1093506495,2011
1093507495,1982
1093508495,1958
1093509495,1949
1093510495,1939
1093511495,1938
1093512495,1951
1093513495,1983
1093514495,2000
1093515495,2020
1093525922,1933
1093526922,1916
1093527922,1915
1093528922,1930
1093529922,1975
1093530922,2002
1093531922,2014
1093532922,2017
1093533922,2021
1093534922,2027
1093535922,2054
