timestamp_us,adc_raw
1541304196,371
1541305196,377
1541306196,369
1541307196,355
1541308196,355
1541309196,367
1541319612,343
1541320612,336
1541321612,355
1541322612,418
1541323612,477
1541324612,525
1541325612,539
1541326612,528
1541327612,524
1541328612,540
1541329612,567
1541330612,597
1541331612,623
1541332612,663
1541333612,701
1541334612,753
1541335612,834
1541336612,935
1541337612,1000
1541338612,1043
1541339612,1072
1541340612,1083
1541341612,1091
1541351990,1086
1541352990,1047
1541353990,1039
1541354990,1008
1541355990,991
1541356990,975
1541357990,956
1541358990,957
1541359990,978
1541360990,1066
1541361990,1185
1541362990,1325
1541363990,1437
1541364990,1514
1541365990,1525
1541366990,1529
1541367990,1490
1541368990,1515
1541369990,1555
1541370990,1612
1541371990,1691
1541382372,1999
1541383372,2015
1541384372,2034
1541385372,2037
1541386372,2023
1541387372,1984
1541388372,1943
1541389372,1907
1541390372,1871
1541391372,1846
1541392372,1844
1541393372,1832
1541394372,1822
1541395372,1807
1541396372,1773
1541397372,1740
1541398372,1704
1541399372,1666
1541400372,1629
1541401372,1599
1541411799,1275
1541412799,1253
1541413799,1232
1541414799,1202
1541415799,1183
1541416799,1161
1541417799,1136
1541418799,1116
1541419799,1083
1541420799,1059
1541421799,1036
1541422799,1013
1541423799,994
1541424799,974
1541425799,951
1541426799,923
1541427799,912
1541428799,893
1541429799,881
1541430799,865
1541431799,845
1541442180,685
1541443180,672
1541444180,663
1541445180,646
1541446180,638
1541447180,623
1541448180,605
1541449180,592
1541450180,579
1541451180,576
1541452180,561
1541453180,543
1541454180,537
1541455180,531
1541456180,509
1541457180,505
1541458180,498
1541459180,483
1541460180,465
1541461180,463
1541462180,460
1541463180,445
1541464180,437
1541465180,439
1541475600,361
1541476600,336
1541477600,346
1541478600,344
1541479600,335
1541480600,330
1541481600,323
1541482600,331
1541483600,335
1541484600,330
1541485600,324
1541486600,315
1541487600,315
1541488600,320
1541489600,307
1541490600,301
1541491600,290
1541492600,286
1541493600,277
1541494600,274
1541495600,273
1541496600,266
1541497600,272
1541498600,268
1541509003,193
1541510003,230
1541511003,218
1541512003,236
1541513003,211
1541514003,215
1541515003,221
1541516003,221
1541517003,192
1541518003,217
1541519003,206
1541520003,201
1541521003,207
1541522003,208
1541523003,199
1541524003,227
1541525003,217
1541526003,232
