timestamp_us,adc_raw
1174403160,1865
1174404160,1856
1174405160,1861
1174406160,1851
1174416604,1839
1174417604,1807
1174418604,1794
1174419604,1819
1174420604,1840
1174421604,1841
1174422604,1849
1174423604,1854
1174424604,1859
1174425604,1863
1174426604,1870
1174427604,1889
1174428604,1909
1174429604,1920
1174430604,1900
1174431604,1887
1174432604,1859
1174433604,1831
1174434604,1808
1174435604,1823
1174446031,1931
1174447031,1921
1174448031,1902
1174449031,1867
1174450031,1826
1174451031,1827
1174452031,1813
1174453031,1837
1174454031,1858
1174455031,1855
1174456031,1857
1174457031,1857
1174458031,1871
1174459031,1881
1174460031,1872
1174461031,1895
1174462031,1927
1174463031,1921
1174464031,1904
1174465031,1890
1174475457,1875
1174476457,1875
1174477457,1894
1174478457,1921
1174479457,1938
1174480457,1907
1174481457,1901
1174482457,1861
1174483457,1853
1174484457,1828
1174485457,1823
1174486457,1840
1174487457,1860
1174488457,1866
1174489457,1862
1174490457,1853
1174491457,1857
1174492457,1859
1174493457,1872
1174494457,1884
1174504884,1863
1174505884,1861
1174506884,1868
1174507884,1879
1174508884,1881
1174509884,1887
1174510884,1903
1174511884,1936
1174512884,1929
1174513884,1911
1174514884,1921
1174515884,1858
1174516884,1842
1174517884,1812
1174518884,1807
1174519884,1828
1174520884,1851
1174521884,1841
1174522884,1845
1174533339,1849
1174534339,1798
1174535339,1808
1174536339,1839
1174537339,1868
1174538339,1857
1174539339,1872
1174540339,1875
1174541339,1883
1174542339,1894
1174543339,1888
1174544339,1895
1174545339,1934
1174546339,1921
1174547339,1907
1174548339,1897
1174549339,1846
1174550339,1817
1174551339,1807
1174552339,1817
1174562766,1938
1174563766,1931
1174564766,1904
1174565766,1871
1174566766,1837
1174567766,1815
1174568766,1801
1174569766,1814
1174570766,1822
1174571766,1865
1174572766,1831
1174573766,1855
1174574766,1857
1174575766,1871
1174576766,1865
1174577766,1888
1174578766,1899
1174579766,1909
1174580766,1899
1174581766,1889
1174592210,1882
1174593210,1881
1174594210,1894
1174595210,1911
1174596210,1921
1174597210,1893
1174598210,1879
1174599210,1845
1174600210,1812
1174601210,1804
1174602210,1802
1174603210,1831
1174604210,1841
1174605210,1878
1174606210,1780
1174607210,1859
1174608210,1873
1174609210,1888
1174610210,1872
1174611210,1902
1174621636,1860
1174622636,1861
1174623636,1877
1174624636,1888
1174625636,1888
1174626636,1886
1174627636,1901
1174628636,1927
1174629636,1919
1174630636,1904
1174631636,1903
1174632636,1843
1174633636,1821
1174634636,1808
1174635636,1809
1174636636,1838
1174637636,1857
1174638636,1867
1174639636,1867
1174640636,1870
1174651063,1813
1174652063,1820
1174653063,1835
1174654063,1859
1174655063,1865
1174656063,1872
1174657063,1888
1174658063,1901
1174659063,1899
1174660063,1891
1174661063,1903
1174662063,1929
1174663063,1929
1174664063,1901
1174665063,1884
1174666063,1836
1174667063,1807
1174668063,1782
1174669063,1793
1174670063,1817
1174680490,1932
1174681490,1899
1174682490,1874
1174683490,1842
1174684490,1822
1174685490,1817
1174686490,1839
1174687490,1843
1174688490,1855
1174689490,1858
1174690490,1867
1174691490,1876
1174692490,1876
1174693490,1872
1174694490,1891
1174695490,1911
1174696490,1920
1174697490,1901
1174698490,1895
1174708945,1875
1174709945,1879
1174710945,1873
1174711945,1918
1174712945,1924
1174713945,1907
1174714945,1889
1174715945,1867
1174716945,1824
1174717945,1804
1174718945,1807
1174719945,1822
1174720945,1844
1174721945,1847
1174722945,1856
1174723945,1869
1174724945,1878
1174725945,1887
1174726945,1885
1174727945,1912
1174738372,1855
1174739372,1853
1174740372,1861
1174741372,1872
1174742372,1883
1174743372,1875
1174744372,1904
1174745372,1929
1174746372,1932
1174747372,1892
1174748372,1889
1174749372,1862
1174750372,1824
1174751372,1809
1174752372,1819
1174753372,1828
1174754372,1838
1174755372,1840
1174756372,1856
1174757372,1863
1174767815,1810
1174768815,1803
1174769815,1824
1174770815,1850
1174771815,1833
1174772815,1872
1174773815,1870
1174774815,1878
1174775815,1889
1174776815,1879
1174777815,1904
1174778815,1925
1174779815,1923
1174780815,1915
1174781815,1889
1174782815,1856
1174783815,1818
1174784815,1792
1174785815,1815
1174786815,1824
1174797250,1910
1174798250,1891
1174799250,1859
1174800250,1829
1174801250,1809
1174802250,1813
1174803250,1827
1174804250,1845
1174805250,1856
1174806250,1857
1174807250,1867
1174808250,1872
1174809250,1883
1174810250,1871
1174811250,1886
1174812250,1911
1174813250,1903
1174814250,1887
1174815250,1863
1174816250,1840
1174826669,1862
1174827669,1904
1174828669,1874
1174829669,1932
1174830669,1904
1174831669,1893
1174832669,1872
1174833669,1841
1174834669,1809
1174835669,1824
1174836669,1840
1174837669,1851
1174838669,1865
1174839669,1869
1174840669,1875
1174841669,1877
1174842669,1872
1174843669,1863
1174844669,1893
1174845669,1913
1174856096,1862
1174857096,1872
1174858096,1872
1174859096,1892
1174860096,1875
1174861096,1907
1174862096,1934
1174863096,1934
1174864096,1907
1174865096,1889
1174866096,1872
1174867096,1835
1174868096,1817
1174869096,1830
1174870096,1843
1174871096,1857
1174872096,1856
1174873096,1860
1174874096,1870
1174884551,1808
1174885551,1815
1174886551,1842
1174887551,1859
1174888551,1865
1174889551,1858
1174890551,1876
1174891551,1885
1174892551,1901
1174893551,1883
1174894551,1910
1174895551,1936
1174896551,1929
1174897551,1905
1174898551,1898
1174899551,1857
1174900551,1813
1174901551,1803
1174902551,1810
1174903551,1826
1174913977,1919
1174914977,1900
1174915977,1863
1174916977,1822
1174917977,1802
1174918977,1810
1174919977,1817
1174920977,1812
1174921977,1843
1174922977,1857
1174923977,1869
1174924977,1872
1174925977,1881
1174926977,1885
1174927977,1904
1174928977,1920
1174929977,1930
1174930977,1905
1174931977,1872
1174932977,1841
1174943421,1888
1174944421,1894
1174945421,1921
1174946421,1917
1174947421,1896
1174948421,1876
1174949421,1849
1174950421,1821
1174951421,1793
1174952421,1808
1174953421,1831
1174954421,1840
1174955421,1846
1174956421,1853
1174957421,1857
1174958421,1860
1174959421,1909
1174960421,1875
1174961421,1904
1174962421,1936
1174972848,1849
1174973848,1851
1174974848,1837
1174975848,1873
1174976848,1873
1174977848,1904
1174978848,1922
1174979848,1925
1174980848,1909
1174981848,1890
1174982848,1862
1174983848,1833
1174984848,1807
